target_model,proxy_model,dataset,z_mode,Label,rho_T,rho_P,Scale,Shape_I,Shape_W,Omega_I,Omega_W,delta_I,delta_W,gamma_I,gamma_W,Bound_I,Bound_W,Bound,EBound_I,EBound_W,EBound,|MdR|,MLoss_T,MLoss_P,MPPL_T,MPPL_P,K_f,K_f_grad_p95,K_f_grad_max,K_f_grad_mean,K_f(pw),K_p,K_p(emp)
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q6_K.gguf,gsm8k,concat,BF16 vs Q6_K,120.54884841773836,120.3233446385431,0.0508519544313466,0.0,0.0,1.0,1.0,0.2255037791952645,0.2255037791952645,10.660380363464355,27.750947952270508,15.662159324046089,39.8318717967898,15.662159324046089,14.213826151950558,36.590819122781326,14.213826151950558,0.00557,1.74198317527771,1.7364130020141602,5.7086534644872655,5.676943672095215,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q5_K_M.gguf,gsm8k,concat,BF16 vs Q5_K_M,120.54884841773836,120.22182305089706,0.1069455905576946,0.0,0.0,1.0,1.0,0.3270253668413119,0.3270253668413119,10.65040683746338,34.51904296875,15.911918469018548,49.66726740123257,15.911918469018548,14.31601634436703,45.56765852405357,14.31601634436703,0.007748,1.74198317527771,1.7342348098754885,5.7086534644872655,5.664591655433468,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q4_K_M.gguf,gsm8k,concat,BF16 vs Q4_K_M,120.54884841773836,120.28650309220936,0.0688250698269156,0.0,0.0,1.0,1.0,0.2623453255289973,0.2623453255289973,10.658445358276367,53.85614013671875,15.755177343498763,76.84594316242541,15.755177343498763,14.253115647963998,70.81264811465732,14.253115647963998,0.003975,1.74198317527771,1.7459585666656494,5.7086534644872655,5.731392765169617,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q3_K_M.gguf,gsm8k,concat,BF16 vs Q3_K_M,120.54884841773836,121.18409790742284,0.4035419141443963,0.0,0.0,1.0,1.0,0.6352494896844831,0.6352494896844831,10.763339042663574,90.52910614013672,16.872731256613505,129.67856089895363,16.872731256613505,14.813780841503863,119.25255973976309,14.813780841503863,0.031644,1.74198317527771,1.773627519607544,5.7086534644872655,5.892188670794885,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q2_K.gguf,gsm8k,concat,BF16 vs Q2_K,120.54884841773836,122.3872920242392,3.3798748942837844,3060.3219769437064,1758.1162433855254,0.8962859165196315,0.9404175716776116,55.35071681412979,41.97018129910579,10.887904167175291,183.0459899902344,159.25936944672185,367.9504403912399,159.25936944672185,77.09063266053788,287.3105963580475,77.09063266053788,0.008703,1.74198317527771,1.7506866455078125,5.7086534644872655,5.758555404988952,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:int8],gsm8k,concat,BF16 vs INT8,120.54884841773836,120.8307730287406,0.0794814862887638,0.0,0.0,1.0,1.0,0.2819246110022391,0.2819246110022391,0.0,40.47800827026367,0.7327477078908453,57.97729598154804,0.7327477078908453,0.3200447236093552,53.31864186383413,0.3200447236093552,0.00814,1.74198317527771,1.733842849731445,5.7086534644872655,5.662371796348824,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:nf4],gsm8k,concat,BF16 vs NF4,120.54884841773836,120.66850435668955,0.0143175437262893,0.0,0.0,1.0,1.0,0.1196559389511833,0.1196559389511833,0.0,95.35995483398438,0.3109966692525121,135.17033810275902,0.3109966692525121,0.1358350793629195,124.99236941801374,0.1358350793629195,0.008647,1.74198317527771,1.750630497932434,5.7086534644872655,5.758232085142177,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:fp4],gsm8k,concat,BF16 vs FP4,120.54884841773836,122.26489156535924,2.9448040844965284,892.045909565212,92.0091166785043,0.9697383657869086,0.9968786962606536,29.916395398672424,9.744430243118249,0.0,134.26646423339844,77.7554328400203,215.20811524714816,77.7554328400203,33.961506456349284,186.8595514336005,33.961506456349284,0.020979,1.74198317527771,1.7629623413085938,5.7086534644872655,5.829681346425034,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,jakiAJK/DeepSeek-R1-Distill-Llama-8B_GPTQ-int4 [GPTQ],gsm8k,concat,BF16 vs GPTQ(DeepSeek-R1-Distill-Llama-8B_GPTQ-int4),120.54884841773836,123.6407082907804,9.55959747452754,0.0,0.0,1.0,1.0,3.09185987304204,3.09185987304204,0.0,151.12664794921875,8.03602504597671,221.761380211746,8.03602504597671,3.509922156099869,201.3828085475292,3.509922156099869,0.032341,1.74198317527771,1.774324655532837,5.7086534644872655,5.896297759326101,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [FP16],mmlu,concat,BF16 vs FP16,130.4216249009915,130.30208699772052,0.0142893103184223,5.904203466139111,2.009672216141368,0.9998262877916674,0.999940871854994,2.4327952598723828,1.4226600178748927,1.757084100972861e-05,9.171907424926758,6.323081016675114,16.668658664942573,6.323081016675114,2.70703999742144,13.398477637029137,2.70703999742144,0.002883,1.3343050479888916,1.3314224481582642,3.7973560490013583,3.786425552789744,2.599090960118504,1.112718939781189,1.6263020038604736,0.5057925581932068,0.0344662442803382,1.4142135623730951,1.2882224321365356
